All goals are:  ['get[wood]', 'make[stick]', 'get[iron]', 'make[axe]', 'get[gem]']
Environment: get[gem] | Task: Task(goal=(1, 12), steps=(2, 8, 4, 7, 11))
Currently working on goal -  get[wood]
ingredient_list -  []
Current actions -  {'DOWN': 0, 'UP': 1, 'LEFT': 2, 'RIGHT': 3, 'USE': 4}
Built new networks
/home/ksridhar/anaconda3/envs/DL_env/lib/python3.8/site-packages/torch/nn/modules/container.py:119: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
At episode -  740 Exploration_number - 0.0 Average reward - 0.090
At episode -  760 Exploration_number - 0.0 Average reward - 0.310
At episode -  780 Exploration_number - 0.0 Average reward - 0.380
At episode -  800 Exploration_number - 0.0 Average reward - 0.320
At episode -  820 Exploration_number - 0.0 Average reward - 0.560
At episode -  840 Exploration_number - 0.0 Average reward - 0.400
At episode -  860 Exploration_number - 0.0 Average reward - 0.385
At episode -  880 Exploration_number - 0.0 Average reward - 0.475
At episode -  900 Exploration_number - 0.0 Average reward - 0.160
At episode -  920 Exploration_number - 0.0 Average reward - 0.370
At episode -  940 Exploration_number - 0.0 Average reward - 0.430
At episode -  960 Exploration_number - 0.0 Average reward - 0.420
At episode -  980 Exploration_number - 0.0 Average reward - 0.390
At episode -  1000 Exploration_number - 0.0 Average reward - 0.470
At episode -  1020 Exploration_number - 0.0 Average reward - 0.415
At episode -  1040 Exploration_number - 0.0 Average reward - 0.450
At episode -  1060 Exploration_number - 0.0 Average reward - 0.405
At episode -  1080 Exploration_number - 0.0 Average reward - 0.365
At episode -  1100 Exploration_number - 0.0 Average reward - 0.490
At episode -  1120 Exploration_number - 0.0 Average reward - 0.495
At episode -  1140 Exploration_number - 0.0 Average reward - 0.680
At episode -  1160 Exploration_number - 0.0 Average reward - 0.570
At episode -  1180 Exploration_number - 0.0 Average reward - 0.590
At episode -  1200 Exploration_number - 0.0 Average reward - 0.285
At episode -  1220 Exploration_number - 0.0 Average reward - 0.470
At episode -  1240 Exploration_number - 0.0 Average reward - 0.400
At episode -  1260 Exploration_number - 0.0 Average reward - 0.600
At episode -  1280 Exploration_number - 0.0 Average reward - 0.720
At episode -  1300 Exploration_number - 0.0 Average reward - 0.600
At episode -  1320 Exploration_number - 0.0 Average reward - 0.570
At episode -  1340 Exploration_number - 0.0 Average reward - 0.545
At episode -  1360 Exploration_number - 0.0 Average reward - 0.595
At episode -  1380 Exploration_number - 0.0 Average reward - 0.535
At episode -  1400 Exploration_number - 0.0 Average reward - 0.575
At episode -  1420 Exploration_number - 0.0 Average reward - 0.345
At episode -  1440 Exploration_number - 0.0 Average reward - 0.615
At episode -  1460 Exploration_number - 0.0 Average reward - 0.655
At episode -  1480 Exploration_number - 0.0 Average reward - 0.555
At episode -  1500 Exploration_number - 0.0 Average reward - 0.755
At episode -  1520 Exploration_number - 0.0 Average reward - 0.365
At episode -  1540 Exploration_number - 0.0 Average reward - 0.470
At episode -  1560 Exploration_number - 0.0 Average reward - 0.470
At episode -  1580 Exploration_number - 0.0 Average reward - 0.650
At episode -  1600 Exploration_number - 0.0 Average reward - 0.420
At episode -  1620 Exploration_number - 0.0 Average reward - 0.650
At episode -  1640 Exploration_number - 0.0 Average reward - 0.485
At episode -  1660 Exploration_number - 0.0 Average reward - 0.815
At episode -  1680 Exploration_number - 0.0 Average reward - 0.230
At episode -  1700 Exploration_number - 0.0 Average reward - 0.520
At episode -  1720 Exploration_number - 0.0 Average reward - 0.640
At episode -  1740 Exploration_number - 0.0 Average reward - 0.805
At episode -  1760 Exploration_number - 0.0 Average reward - 0.655
At episode -  1780 Exploration_number - 0.0 Average reward - 0.525
At episode -  1800 Exploration_number - 0.0 Average reward - 0.685
At episode -  1820 Exploration_number - 0.0 Average reward - 0.695
At episode -  1840 Exploration_number - 0.0 Average reward - 0.590
At episode -  1860 Exploration_number - 0.0 Average reward - 0.675
At episode -  1880 Exploration_number - 0.0 Average reward - 0.555
At episode -  1900 Exploration_number - 0.0 Average reward - 0.720
At episode -  1920 Exploration_number - 0.0 Average reward - 0.645
At episode -  1940 Exploration_number - 0.0 Average reward - 0.615
At episode -  1960 Exploration_number - 0.0 Average reward - 0.460
At episode -  1980 Exploration_number - 0.0 Average reward - 0.480
At episode -  2000 Exploration_number - 0.0 Average reward - 0.690
At episode -  2020 Exploration_number - 0.0 Average reward - 0.520
At episode -  2040 Exploration_number - 0.0 Average reward - 0.610
At episode -  2060 Exploration_number - 0.0 Average reward - 0.660
At episode -  2080 Exploration_number - 0.0 Average reward - 0.510
At episode -  2100 Exploration_number - 0.0 Average reward - 0.510
At episode -  2120 Exploration_number - 0.0 Average reward - 0.660
At episode -  2140 Exploration_number - 0.0 Average reward - 0.595
At episode -  2160 Exploration_number - 0.0 Average reward - 0.755
At episode -  2180 Exploration_number - 0.0 Average reward - 0.520
At episode -  2200 Exploration_number - 0.0 Average reward - 0.645
At episode -  2220 Exploration_number - 0.0 Average reward - 0.660
At episode -  2240 Exploration_number - 0.0 Average reward - 0.465
At episode -  2260 Exploration_number - 0.0 Average reward - 0.530
At episode -  2280 Exploration_number - 0.0 Average reward - 0.810
At episode -  2300 Exploration_number - 0.0 Average reward - 0.620
At episode -  2320 Exploration_number - 0.0 Average reward - 0.600
At episode -  2340 Exploration_number - 0.0 Average reward - 0.640
At episode -  2360 Exploration_number - 0.0 Average reward - 0.455
At episode -  2380 Exploration_number - 0.0 Average reward - 0.655
At episode -  2400 Exploration_number - 0.0 Average reward - 0.805
At episode -  2420 Exploration_number - 0.0 Average reward - 0.600
